zoo_label,tau,nearest_zoo,nearest_cograph,status,cograph_measure,call,definition_source,verification,verified_scope,note
delta-betweenness,0.986,Betweenness,betweenness,implemented,delta_betweenness,"centrality(x, measures = ""delta_betweenness"")",https://doi.org/10.1016/j.socnet.2016.09.005,batch11/run_equivalence.R: independent shortest-path counting,simple undirected unweighted graphs,
k-path,0.986,Diffusion Degree,diffusion,pending review,,,,,,"candidate_review40: BLOCKED. Zoo2.206 k-path is NOT Alahakoon et al.'s randomised k-path; it attributes the measure to Sade1989 Social Networks11(3):273-292 PII 0378873389900063, which was NOT obtained. The three available secondary readings of Sade's n-path definition disagree with each other and give different numbers on a four-node path: paths counted by origin or by membership, simple paths or walks, and n counting edges or vertices are all unresolved. Keep pending and keep cograph's kpath counted as a native measure rather than Zoo coverage. Do not settle the reading by correlation: Readings A and B are highly rank-correlated and still numerically different"
ControlRank,0.986,Second order centrality,second_order,implemented,controlrank,"centrality(x, measures = ""controlrank"")","Zhou-Yu-Lu2019 (online2018) DOI10.1109/TCSII.2018.2845940 sectionIII-C Theorem3, Figure1 and sectionIV-A; original PDFpages2-4 visually read","batch36/run_equivalence.R: SciPy row-Laplacian/spectral bisection, exact SymPy characteristic-polynomial root intervals, NetworkX incidence SVD; published_audit.R all11printed node values; stress.R mpmath150",finite nonnegative weighted directed and undirected graphs; row-Laplacian with outgoing strengths; explicit disconnected extensions,"Original degrees retained in grounded symmetric minors. Directed scores signed; transpose input for incoming orientation. Loops removed; remaining parallels sum; mode/inversion/cutoff ignored. Undirected disconnected scores0, empty[], singleton0 extension. Normalization divides by positive maximum, otherwise retains raw units; separate blocks preserve structural zeros. Marked costly O(n^4). Extreme spectra may error. Tiny asymmetric matrix weights require explicit directed=True or directed igraph because shared parser uses approximate symmetry. No finite-feedback rate, general directed stability, group-optimization or author-code parity claim"
Dynamical importance,0.984,Eigenvector,eigenvector,implemented,dynamical_importance,"centrality(x, measures = ""dynamical_importance"")",https://doi.org/10.1103/PhysRevLett.97.094102,batch14/run_equivalence.R: NumPy full eigenspectra and SymPy exact characteristic-polynomial root intervals on small binary graphs,directed and undirected nonnegative weighted graphs; loops removed,"exact vertex-deletion definition, not eigenvector-product approximation; zero original spectral radius yields NaN; costly"
Average shortest path centrality (AC),0.984,Closeness vitality,closeness_vitality,pending review,,,,,,"candidate_review40: BLOCKED on the disconnected-pair convention. Original Lv, Zhao, Xiong and Chen2019 PhysicaA523:488-497 DOI10.1016/j.physa.2019.01.136 NOT obtained: Unpaywall, OpenAlex, Semantic Scholar and fatcat all report it closed with zero OA locations, no arXiv preprint, and no reproduction printing the equation was found. Zoo2.13 (page36 visually inspected) gives c_AC(i)=(ASP(G_i)-ASP(G))/ASP(G) with ASP over ordered pairs and says an unreachable pair takes 'the diameter of G'; it is ambiguous whether that is diam(G_i) on the residual or the intact diam(G), and the two give cut vertices opposite signs. Computed that session in exact Fractions: on the path a-b-c-d, ASP(G)=5/3 and removing b gives c_AC(b)=-0.4 under diam(G_i) but +0.4 under diam(G); on the 3-star the centre gets -1.0 versus +0.333333. Under diam(G_i) every node scores non-positive, contradicting the measure's stated purpose. Also open: whether scores are signed, and the N=2 or empty-residual case where (N-1)(N-2)=0. Note closeness_vitality is NOT this measure: it is an absolute Wiener-sum difference that drops infinite pairs. Next step: the PhysicaA full text, or the 2021 local-RASP follow-up S0378437121009262 as a reproduction"
Proximal betwenness,0.983,Bridging centrality,bridging,implemented,proximal_betweenness,"centrality(x, measures = ""proximal_betweenness"")",Brandes2008 DOI10.1016/j.socnet.2007.11.001 section3.2 Algorithm3; author preprint12Nov2007 pp7-8,"batch30/run_equivalence.R: NetworkX all_shortest_paths enumeration and independent exact-integer adjacency powers; four role variants, every simple undirected graph through5 and directed graph through4 vertices","simple unweighted directed/undirected graphs; source, target, sum and union variants; ordered pairs and endpoints excluded","Source means immediately before destination, target immediately after origin, following Brandes. Default source; no undirected halving. Sum counts both roles, union counts the two-edge overlap once. Weights/mode/inversion/cutoff ignored; loops and parallels removed. Count overflow errors; no weighted or edge-distinct multigraph equivalence claim"
Dynamics-sensitive (DS) centrality,0.983,Infection number,infection,implemented,dynamics_sensitive,"centrality(x, measures = ""dynamics_sensitive"", ds_beta = 0.1, ds_mu = 1, ds_steps = 5)",https://doi.org/10.1038/srep21380; https://arxiv.org/pdf/1504.06672,batch15/run_equivalence.R: independent binomial expansion using NumPy powers and enumerated walks across beta/mu/T; finite-diffusion limit,simple undirected unweighted graphs,"full recovery-rate family; mu=1 matches Zoo finite-walk formula; beta=0.1/mu=1/T=5 are explicit defaults; linearized cumulative score, not bounded infection probability"
Mixed Degree Decomposition (MDD),0.982,Degree,degree,implemented,mdd,"centrality(x, measures = ""mdd"")",https://arxiv.org/pdf/1204.4497,"batch12/run_equivalence.R: exhaustive subset oracle, lambda=0/0.3/0.7/1; igraph limiting cases",simple undirected unweighted graphs,
Expected force (ExFm),0.982,Hubbel,hubbell,implemented,modified_expected_force,"centrality(x, measures = ""modified_expected_force"")","Lawyer2015 DOI10.1038/srep08665 eq1/2, published PDFp2 visually read; directed extension Weighted graphs",batch31/run_equivalence.R: NetworkX two-event infected-susceptible edge enumeration; pinned author C++ commit00a5a8ee3c26ceeb3bdd872aee24499c8da42793 on connected undirected graphs>=4; alpha1.0001/1.5/2/4/16/1e308,"two-event unweighted directed/undirected transmission sequences, no recovery; finite alpha>1; directed modification uses outdegree","Defaultalpha2; event orders and transmitting edges retain multiplicity, cluster degree counts outgoing boundary EDGES not distinct susceptible nodes. Loops/parallels removed; weights/mode/inversion/cutoff ignored. No two-event outcomes or all-zero onward force returns0 as explicit extension; author parity only connected undirected graphs>=4. Weighted extension and other horizons excluded. Old Zoo ExF mapping to neighbor-degree expected corrected"
Extended improved k-shell hybrid (EIKH),0.981,Infection number,infection,pending review,,,,,,"candidate_review40: BLOCKED, same family and same audit as 'k-shell hybrid method'. EIKH is the sum of IKH over the OPEN neighbourhood. Original Maji et al.2020 ESWA144:113092 DOI10.1016/j.eswa.2019.113092 NOT obtained; the RCAAP deposit at recipp.ipp.pt/handle/10400.22/17904 is restricted, not missing. Zoo2.125's displayed equation is labelled c_ESKH although the section defines EIKH, confirmed visually. All four family members rank identically on the test graphs, so verification must be on values, not ranks. No published fixture, no code"
Mapping entropy (ME),0.981,Hubbel,hubbell,pending review,,,,,,"candidate_review40: BLOCKED on one item, whether the degree inside the logarithm is raw or normalized. Original Nie, Guo, Zhao and Lu2016 PhysicaA453:290-297 DOI10.1016/j.physa.2016.02.009 NOT obtained: Unpaywall, OpenAlex, Semantic Scholar and fatcat all report it closed with zero OA locations and there is no arXiv preprint. Two peer-reviewed reproductions disagree: Omar and Plapper2020 Entropy22(12):1417 DOI10.3390/e22121417, read in full via Europe PMC XML, gives the RAW form H(i)=-k_i sum_{j in Gamma(i)} log k_j, matching Zoo2.252 (page131 visually inspected); Gialampoukidis et al. EISIC2016 DOI10.1109/EISIC.2016.029 uses normalized degree d/(N-1). Computed in that session on the triangle-plus-pendant a-b,a-c,b-c,a-d with natural logs: raw gives a=-4.158883, b=c=-3.583519, d=-1.098612 while normalized gives a=+1.909543, b=c=+0.270310, d=0, a complete rank reversal, so the choice is not a rescaling. Under the raw form c_ME is non-positive and decreasing in degree, contradicting the Zoo's own prose. Zoo's second citation [458] (Zhang et al.2014 arXiv:1412.3910) is spurious: that preprint contains no occurrence of 'mapping entropy'. Log base is unstated and rank-irrelevant under both readings. No published numerical fixture, no code. Next step: obtain the PhysicaA full text"
Gravity model,0.98,Hubbel,hubbell,implemented,gravity,"centrality(x, measures = ""gravity"", gravity_mass = ""degree"", gravity_radius = NULL)",https://doi.org/10.1038/s41598-019-44930-9,batch11/run_equivalence.R: degree-mass gravity from igraph distances,simple undirected unweighted graphs,
Extended LBC,0.979,Bridging centrality,bridging,implemented,extended_local_bridging,"centrality(x, measures = ""extended_local_bridging"")","Macker2016 DOI10.1109/MILCOM.2016.7795393 sectionsIV-V eq5/TableI, original PDFpages2-3 visually read; original graph bridging coefficient from eq3",batch33/run_equivalence.R: NetworkX ego_graph/Brandes and independent exact Fraction shortest-path enumeration; test-centrality-batch33.R reproduces all11synthetic TableI rows,simple unweighted undirected graphs; two-hop induced ego networks; original-graph bridging coefficient,"Ego betweenness uses unordered pairs, excludes endpoints, no ego-size normalization. Paths can have4edges; not global cutoff2. Directed input projects by either arc; loops/parallels removed; weights/mode/inversion/cutoff ignored. Leaves0; isolates0 explicit coefficient extension. Costly. Original weighted quality/cost model excluded. Incorrect Zoo localized bridging mapping corrected separately; legacy local_bridging behavior retained"
Extended k-shell hybrid method,0.979,Infection number,infection,pending review,,,,,,"candidate_review40: BLOCKED, same family and same audit as 'k-shell hybrid method'. ESKH is the sum of ksh over the OPEN neighbourhood of i, excluding the node's own score. Original Namtirtha, Dutta and Dutta2018 PhysicaA499:310-324 DOI10.1016/j.physa.2018.02.016 NOT obtained (closed in Unpaywall, OpenAlex, Semantic Scholar and fatcat, no arXiv preprint); Zoo2.125's displayed equation is labelled c_ESKH although that section defines EIKH, confirmed visually and not an extraction artifact. Worked value computed that session (l=3, mu=0.4, triangle-plus-pendant): a=17.264102, b=c=14.265064, d=7.732051 under the open neighbourhood; the closed reading would give d=11.930127, a cheap discriminating test. No published fixture, no code"
Neighbor distance centrality,0.979,Laplacian,laplacian,implemented,neighbor_distance,"centrality(x, measures = ""neighbor_distance"")","Liu-Tang-Zhou-Do2016 DOI10.1016/j.physa.2016.02.028 PhysicaA452:289-298 section2.3 eq1; read in the author preprint arXiv:1511.00441v1 page4, visually inspected as a page render, PDF SHA256 01fcbac501df07f022ff4ad588d6d5027c5ebba3f06dbcbc202e04c7618f6292. The paywalled version of record was NOT read","batch42/run_equivalence.R: four independent walk-counting references, none using production's Hashimoto vector recursion - pure-Python dictionary edge propagation keyed by the last directed edge, depth-first enumeration of every individual non-backtracking walk, brute-force enumeration of all walks with the backtracking ones filtered out, and a dense 2m x 2m Hashimoto edge matrix in NumPy object integers - all in exact Fraction arithmetic over 30 order/decay/mass configurations on all 5,532 fixtures, plus wrapper, normalization, permutation and input-projection checks; the A_k = A A_{k-1} - (D-I) A_{k-2} recursion was derived analytically and checked against brute-force enumeration on every labeled simple undirected graph through5 vertices at k=1..6; published_audit.R checks the paper's printed statements because the paper prints no table of node scores","simple undirected unweighted graphs; nd_order 0/1/2/3/5, nd_decay 0.2/1/-0.5 and both benchmark centralities; disconnected graphs and isolates","One implementation, neighbor_distance, covers both labels: Zoo2.279 is Zoo2.280 at theta=degree, n=2, a=0.2, which are the cograph defaults; both Zoo sections cite the same paper [236]. Implements eq1 literally: the sums are nested and each level excludes only the immediately preceding node, so the k-th term sums theta over the endpoints of the non-backtracking walks of length k, once per walk, and a walk may revisit any earlier node including the focal one. The Zoo paraphrases both entries with sums over N^(k)(i), the k-hop distance shells; the two agree on trees and differ on any graph with a triangle or a cycle of length at most2n. Recomputed this session in exact Fraction arithmetic on the triangle-plus-pendant A-B,A-C,B-C,A-D: walks give A=4.16, B=C=3.24, D=1.76 while shells give A=4.00, B=C=3.04, D=1.76; on C4 walks give 2.96 everywhere and shells 2.88. No shell variant is shipped: that form appears only in the Zoo paraphrase, which also mis-cites [235] (Liu et al.2015 SciRep5:13172) for the naming, a paper whose full text contains no mention of the measure. nd_order is a nonnegative whole number and0 returns theta; nd_decay is any finite number, outside the source's [0,1] by explicit cograph extension; nd_mass is degree or coreness, the source's two benchmarks. Simple undirected unweighted skeleton; loops removed because a loop makes the previous node ambiguous; parallels count once; weights/mode/inversion/cutoff ignored. Isolates score0, raw scores are component-local, empty graphs return no scores, and large orders overflow because walk counts grow geometrically. No normalization in the source; normalized=True max-scales as a cograph convention. The published PhysicaA version was NOT read, only arXiv v1. No author software exists and the paper prints no table of node scores, so there is no published numerical fixture and no author-parity or spreading-performance claim"
